,Community,global_rank,local_rank,MAC_address
0,122,501,1,02:00:00:00:00:00
1,122,209,355,02:00:00:00:00:01
2,421,43,27,02:00:00:00:00:02
3,129,240,1,02:00:00:00:00:03
4,122,294,2,02:00:00:00:00:04
5,122,106,3,02:00:00:00:00:05
6,122,240,4,02:00:00:00:00:06
7,122,93,412,02:00:00:00:00:07
8,122,403,5,02:00:00:00:00:08
9,421,54,1,02:00:00:00:00:09
10,122,309,6,02:00:00:00:01:00
11,122,221,7,02:00:00:00:01:01
12,122,214,8,02:00:00:00:01:02
13,122,230,9,02:00:00:00:01:03
14,421,27,32,02:00:00:00:01:04
15,122,443,10,02:00:00:00:01:05
16,122,146,11,02:00:00:00:01:06
17,122,523,12,02:00:00:00:01:07
18,122,481,13,02:00:00:00:01:08
19,122,139,14,02:00:00:00:01:09
20,122,291,15,02:00:00:00:02:00
21,122,54,356,02:00:00:00:02:01
22,122,294,16,02:00:00:00:02:02
23,122,130,17,02:00:00:00:02:03
24,421,185,2,02:00:00:00:02:04
25,421,61,12,02:00:00:00:02:05
26,122,523,18,02:00:00:00:02:06
27,122,376,19,02:00:00:00:02:07
28,122,273,20,02:00:00:00:02:08
29,122,425,21,02:00:00:00:02:09
30,122,280,22,02:00:00:00:03:00
31,148,118,1,02:00:00:00:03:01
32,122,410,23,02:00:00:00:03:02
33,122,25,357,02:00:00:00:03:03
34,421,148,28,02:00:00:00:03:04
35,129,297,2,02:00:00:00:03:05
36,362,355,1,02:00:00:00:03:06
37,122,176,24,02:00:00:00:03:07
38,122,471,25,02:00:00:00:03:08
39,122,87,26,02:00:00:00:03:09
40,122,34,393,02:00:00:00:04:00
41,122,181,27,02:00:00:00:04:01
42,122,261,28,02:00:00:00:04:02
43,122,455,29,02:00:00:00:04:03
44,122,303,30,02:00:00:00:04:04
45,122,425,31,02:00:00:00:04:05
46,122,173,32,02:00:00:00:04:06
47,122,252,33,02:00:00:00:04:07
48,122,138,34,02:00:00:00:04:08
49,122,188,35,02:00:00:00:04:09
50,461,79,1,02:00:00:00:05:00
51,122,309,36,02:00:00:00:05:01
52,122,322,37,02:00:00:00:05:02
53,122,74,358,02:00:00:00:05:03
54,122,309,38,02:00:00:00:05:04
55,122,203,39,02:00:00:00:05:05
56,122,523,40,02:00:00:00:05:06
57,122,501,41,02:00:00:00:05:07
58,122,69,359,02:00:00:00:05:08
59,421,31,13,02:00:00:00:05:09
60,281,146,1,02:00:00:00:06:00
61,122,417,42,02:00:00:00:06:01
62,421,207,3,02:00:00:00:06:02
63,122,403,43,02:00:00:00:06:03
64,468,299,1,02:00:00:00:06:04
65,362,471,2,02:00:00:00:06:05
66,122,364,44,02:00:00:00:06:06
67,122,143,45,02:00:00:00:06:07
68,122,322,46,02:00:00:00:06:08
69,122,523,47,02:00:00:00:06:09
70,122,297,48,02:00:00:00:07:00
71,122,403,49,02:00:00:00:07:01
72,122,443,50,02:00:00:00:07:02
73,122,236,51,02:00:00:00:07:03
74,122,417,52,02:00:00:00:07:04
75,122,288,53,02:00:00:00:07:05
76,122,252,54,02:00:00:00:07:06
77,122,329,55,02:00:00:00:07:07
78,122,141,56,02:00:00:00:07:08
79,148,20,2,02:00:00:00:07:09
80,122,501,57,02:00:00:00:08:00
81,122,277,58,02:00:00:00:08:01
82,122,191,59,02:00:00:00:08:02
83,122,188,60,02:00:00:00:08:03
84,122,40,394,02:00:00:00:08:04
85,468,443,2,02:00:00:00:08:05
86,122,25,360,02:00:00:00:08:06
87,122,85,361,02:00:00:00:08:07
88,129,364,3,02:00:00:00:08:08
89,122,151,61,02:00:00:00:08:09
90,122,185,62,02:00:00:00:09:00
91,122,230,63,02:00:00:00:09:01
92,122,233,64,02:00:00:00:09:02
93,122,410,65,02:00:00:00:09:03
94,122,394,66,02:00:00:00:09:04
95,122,173,67,02:00:00:00:09:05
96,122,501,68,02:00:00:00:09:06
97,148,111,3,02:00:00:00:09:07
98,281,100,2,02:00:00:00:09:08
99,421,77,14,02:00:00:00:09:09
100,129,261,4,02:00:00:01:00:00
101,122,193,69,02:00:00:01:00:01
102,122,303,70,02:00:00:01:00:02
103,122,280,71,02:00:00:01:00:03
104,468,329,3,02:00:00:01:00:04
105,421,113,15,02:00:00:01:00:05
106,421,97,4,02:00:00:01:00:06
107,122,183,72,02:00:00:01:00:07
108,122,443,73,02:00:00:01:00:08
109,122,425,74,02:00:00:01:00:09
110,468,315,4,02:00:00:01:01:00
111,129,297,5,02:00:00:01:01:01
112,122,481,75,02:00:00:01:01:02
113,421,170,29,02:00:00:01:01:03
114,468,273,5,02:00:00:01:01:04
115,362,252,3,02:00:00:01:01:05
116,122,471,76,02:00:00:01:01:06
117,421,22,16,02:00:00:01:01:07
118,468,257,6,02:00:00:01:01:08
119,122,346,77,02:00:00:01:01:09
120,122,82,395,02:00:00:01:02:00
121,122,410,78,02:00:00:01:02:01
122,122,3,418,02:00:00:01:02:02
123,122,120,79,02:00:00:01:02:03
124,281,154,3,02:00:00:01:02:04
125,122,245,80,02:00:00:01:02:05
126,122,160,396,02:00:00:01:02:06
127,122,106,362,02:00:00:01:02:07
128,122,226,81,02:00:00:01:02:08
129,129,7,6,02:00:00:01:02:09
130,122,322,82,02:00:00:01:03:00
131,122,42,397,02:00:00:01:03:01
132,122,97,83,02:00:00:01:03:02
133,122,157,84,02:00:00:01:03:03
134,122,370,85,02:00:00:01:03:04
135,122,523,86,02:00:00:01:03:05
136,122,338,87,02:00:00:01:03:06
137,122,261,88,02:00:00:01:03:07
138,122,111,363,02:00:00:01:03:08
139,122,364,89,02:00:00:01:03:09
140,122,417,90,02:00:00:01:04:00
141,122,322,91,02:00:00:01:04:01
142,122,385,92,02:00:00:01:04:02
143,122,280,93,02:00:00:01:04:03
144,122,252,94,02:00:00:01:04:04
145,281,58,4,02:00:00:01:04:05
146,148,100,4,02:00:00:01:04:06
147,122,71,364,02:00:00:01:04:07
148,148,1,12,02:00:00:01:04:08
149,122,309,95,02:00:00:01:04:09
150,421,115,5,02:00:00:01:05:00
151,122,523,96,02:00:00:01:05:01
152,122,471,97,02:00:00:01:05:02
153,122,127,98,02:00:00:01:05:03
154,122,346,99,02:00:00:01:05:04
155,122,97,398,02:00:00:01:05:05
156,122,385,100,02:00:00:01:05:06
157,468,425,7,02:00:00:01:05:07
158,129,315,7,02:00:00:01:05:08
159,122,93,416,02:00:00:01:05:09
160,122,364,101,02:00:00:01:06:00
161,122,61,417,02:00:00:01:06:01
162,122,455,102,02:00:00:01:06:02
163,122,218,103,02:00:00:01:06:03
164,122,376,104,02:00:00:01:06:04
165,122,417,105,02:00:00:01:06:05
166,122,108,365,02:00:00:01:06:06
167,122,160,106,02:00:00:01:06:07
168,421,64,6,02:00:00:01:06:08
169,122,417,107,02:00:00:01:06:09
170,122,355,108,02:00:00:01:07:00
171,122,385,109,02:00:00:01:07:01
172,122,523,110,02:00:00:01:07:02
173,122,17,366,02:00:00:01:07:03
174,129,433,8,02:00:00:01:07:04
175,122,149,111,02:00:00:01:07:05
176,122,195,112,02:00:00:01:07:06
177,421,116,17,02:00:00:01:07:07
178,122,54,367,02:00:00:01:07:08
179,122,252,113,02:00:00:01:07:09
180,221,364,12,02:00:00:01:08:00
181,122,487,114,02:00:00:01:08:01
182,122,100,115,02:00:00:01:08:02
183,122,443,116,02:00:00:01:08:03
184,122,159,117,02:00:00:01:08:04
185,122,31,399,02:00:00:01:08:05
186,221,394,1,02:00:00:01:08:06
187,122,270,118,02:00:00:01:08:07
188,122,92,368,02:00:00:01:08:08
189,122,501,119,02:00:00:01:08:09
190,122,285,120,02:00:00:01:09:00
191,122,501,121,02:00:00:01:09:01
192,122,19,400,02:00:00:01:09:02
193,122,41,369,02:00:00:01:09:03
194,122,523,122,02:00:00:01:09:04
195,122,211,123,02:00:00:01:09:05
196,122,288,124,02:00:00:01:09:06
197,122,125,370,02:00:00:01:09:07
198,122,403,125,02:00:00:01:09:08
199,122,90,371,02:00:00:01:09:09
200,122,523,126,02:00:00:02:00:00
201,122,425,127,02:00:00:02:00:01
202,281,67,5,02:00:00:02:00:02
203,122,376,128,02:00:00:02:00:03
204,122,394,129,02:00:00:02:00:04
205,122,185,130,02:00:00:02:00:05
206,206,2,1,02:00:00:02:00:06
207,122,523,131,02:00:00:02:00:07
208,122,523,132,02:00:00:02:00:08
209,122,13,372,02:00:00:02:00:09
210,122,270,133,02:00:00:02:01:00
211,122,223,134,02:00:00:02:01:01
212,122,433,135,02:00:00:02:01:02
213,122,455,136,02:00:00:02:01:03
214,122,355,137,02:00:00:02:01:04
215,122,108,138,02:00:00:02:01:05
216,122,223,139,02:00:00:02:01:06
217,122,176,140,02:00:00:02:01:07
218,122,221,141,02:00:00:02:01:08
219,468,338,8,02:00:00:02:01:09
220,122,490,142,02:00:00:02:02:00
221,221,6,2,02:00:00:02:02:01
222,122,385,143,02:00:00:02:02:02
223,122,501,144,02:00:00:02:02:03
224,148,261,5,02:00:00:02:02:04
225,122,245,145,02:00:00:02:02:05
226,122,355,146,02:00:00:02:02:06
227,421,203,7,02:00:00:02:02:07
228,122,227,147,02:00:00:02:02:08
229,122,188,148,02:00:00:02:02:09
230,122,346,149,02:00:00:02:03:00
231,122,455,150,02:00:00:02:03:01
232,122,299,151,02:00:00:02:03:02
233,122,417,152,02:00:00:02:03:03
234,122,490,153,02:00:00:02:03:04
235,122,165,154,02:00:00:02:03:05
236,122,501,155,02:00:00:02:03:06
237,122,233,156,02:00:00:02:03:07
238,122,443,157,02:00:00:02:03:08
239,122,481,158,02:00:00:02:03:09
240,122,471,159,02:00:00:02:04:00
241,421,76,8,02:00:00:02:04:01
242,122,455,160,02:00:00:02:04:02
243,122,523,161,02:00:00:02:04:03
244,122,207,162,02:00:00:02:04:04
245,221,443,13,02:00:00:02:04:05
246,421,61,18,02:00:00:02:04:06
247,122,490,163,02:00:00:02:04:07
248,122,364,164,02:00:00:02:04:08
249,122,228,165,02:00:00:02:04:09
250,122,267,166,02:00:00:02:05:00
251,122,240,167,02:00:00:02:05:01
252,122,85,401,02:00:00:02:05:02
253,122,481,168,02:00:00:02:05:03
254,122,157,169,02:00:00:02:05:04
255,122,463,170,02:00:00:02:05:05
256,421,25,31,02:00:00:02:05:06
257,122,433,171,02:00:00:02:05:07
258,122,433,172,02:00:00:02:05:08
259,122,346,173,02:00:00:02:05:09
260,129,394,9,02:00:00:02:06:00
261,122,225,174,02:00:00:02:06:01
262,122,291,175,02:00:00:02:06:02
263,122,113,176,02:00:00:02:06:03
264,122,80,373,02:00:00:02:06:04
265,122,11,413,02:00:00:02:06:05
266,468,346,9,02:00:00:02:06:06
267,122,245,177,02:00:00:02:06:07
268,122,303,178,02:00:00:02:06:08
269,221,370,3,02:00:00:02:06:09
270,221,285,4,02:00:00:02:07:00
271,281,22,6,02:00:00:02:07:01
272,122,68,374,02:00:00:02:07:02
273,122,329,179,02:00:00:02:07:03
274,122,17,375,02:00:00:02:07:04
275,122,273,180,02:00:00:02:07:05
276,122,181,181,02:00:00:02:07:06
277,122,44,402,02:00:00:02:07:07
278,129,471,10,02:00:00:02:07:08
279,122,403,182,02:00:00:02:07:09
280,122,167,376,02:00:00:02:08:00
281,281,4,7,02:00:00:02:08:01
282,122,170,183,02:00:00:02:08:02
283,122,481,184,02:00:00:02:08:03
284,421,49,9,02:00:00:02:08:04
285,122,136,185,02:00:00:02:08:05
286,461,209,2,02:00:00:02:08:06
287,122,212,186,02:00:00:02:08:07
288,122,463,187,02:00:00:02:08:08
289,122,56,377,02:00:00:02:08:09
290,122,168,188,02:00:00:02:09:00
291,122,376,189,02:00:00:02:09:01
292,122,501,190,02:00:00:02:09:02
293,122,51,403,02:00:00:02:09:03
294,468,164,10,02:00:00:02:09:04
295,122,87,378,02:00:00:02:09:05
296,122,455,191,02:00:00:02:09:06
297,421,38,19,02:00:00:02:09:07
298,281,36,12,02:00:00:02:09:08
299,221,315,5,02:00:00:02:09:09
300,122,125,192,02:00:00:03:00:00
301,461,31,3,02:00:00:03:00:01
302,122,12,379,02:00:00:03:00:02
303,221,355,6,02:00:00:03:00:03
304,421,162,10,02:00:00:03:00:04
305,122,501,193,02:00:00:03:00:05
306,461,65,8,02:00:00:03:00:06
307,122,471,194,02:00:00:03:00:07
308,122,425,195,02:00:00:03:00:08
309,129,315,11,02:00:00:03:00:09
310,122,285,196,02:00:00:03:01:00
